feature,n_nonbinder,n_binder,nonbinder_mean,binder_mean,u_statistic,p_value_raw,cliffs_delta,auc_metric_raw_direction,auc_metric_best_direction,p_value_fdr_bh
binding_interface_total_hbond_E_A_B_mean,5,6,-5.102960128605799,-9.282921596699147,26.0,0.05194805194805195,-0.7333333333333333,0.13333333333333333,0.8666666666666667,0.7813852813852813
binding_interface_hbonds_A_B_mean,5,6,4.899099099099099,7.798798798798799,5.0,0.08225108225108226,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7813852813852813
rosetta_hbond_lr_bb_mean,5,6,-83.3177891891892,-67.3094099099099,6.0,0.12554112554112554,0.6,0.8,0.8,0.7813852813852813
rosetta_fa_elec_mean,5,6,-488.62382162162146,-534.6245645645645,22.0,0.24675324675324672,-0.4666666666666667,0.26666666666666666,0.7333333333333334,0.7813852813852813
rosetta_hbond_sc_mean,5,6,-44.78915135135135,-52.19616966966969,22.0,0.24675324675324672,-0.4666666666666667,0.26666666666666666,0.7333333333333334,0.7813852813852813
rosetta_hbond_sr_bb_mean,5,6,-93.6567027027027,-122.78928228228229,22.0,0.24675324675324672,-0.4666666666666667,0.26666666666666666,0.7333333333333334,0.7813852813852813
binding_interface_packstat_A_B_mean,5,6,0.6110622624268551,0.5943474814466895,22.0,0.24675324675324672,-0.4666666666666667,0.26666666666666666,0.7333333333333334,0.7813852813852813
binding_interface_delta_sasa_A_B_mean,5,6,1915.4458739461668,2256.3941475198076,8.0,0.24675324675324672,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.7813852813852813
summary_ptm,5,6,0.728,0.795,8.5,0.27113234956794896,0.43333333333333335,0.7166666666666667,0.7166666666666667,0.7813852813852813
summary_chain_pair_pae_cross_chain_min,5,6,5.034000000000001,2.2150000000000003,21.5,0.27222925638857487,-0.43333333333333335,0.2833333333333333,0.7166666666666667,0.7813852813852813
rosetta_rama_prepro_mean,5,6,-10.808050450450448,-19.243882882882883,21.0,0.32900432900432897,-0.4,0.29999999999999993,0.7000000000000001,0.7813852813852813
summary_chain_pair_pae_cross_chain_mean,5,6,5.526000000000001,2.485,21.0,0.32900432900432897,-0.4,0.29999999999999993,0.7000000000000001,0.7813852813852813
rosetta_fa_dun_mean,5,6,281.34483423423427,295.89916216216216,9.0,0.32900432900432897,0.4,0.7,0.7,0.7813852813852813
rosetta_fa_sol_mean,5,6,815.346272072072,903.9525975975977,9.0,0.32900432900432897,0.4,0.7,0.7,0.7813852813852813
binding_interface_score_A_B_mean,5,6,-57.23368421292393,-67.29309923403646,21.0,0.32900432900432897,-0.4,0.3,0.7,0.7813852813852813
binding_interface_dG_A_B_mean,5,6,-57.23368421292393,-67.29309923403646,21.0,0.32900432900432897,-0.4,0.3,0.7,0.7813852813852813
summary_iptm,5,6,0.562,0.6933333333333334,10.0,0.40917633808896714,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.8118977796397151
rosetta_fa_intra_sol_xover4_mean,5,6,46.70161981981982,49.917316816816815,10.0,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.6666666666666667,0.8118977796397151
binding_interface_delta_hbond_unsat_A_B_mean,5,6,9.92972972972973,8.012012012012013,20.0,0.42857142857142855,-0.3333333333333333,0.3333333333333333,0.6666666666666667,0.8118977796397151
