metric,p,delta,ci_lo,ci_hi,auc,p_fdr
rosetta_p_aa_pp_mean,0.01415015341766343,-0.3248847926267281,-0.554147465437788,-0.0932891705069126,0.6624423963133641,0.3672218013645041
rosetta_pro_close_mean,0.01883188724946175,-0.31105990783410137,-0.5460829493087558,-0.06103110599078357,0.6555299539170507,0.3672218013645041
summary_iptm,0.039843563961505145,0.27131336405529954,0.03742799539170507,0.49598214285714276,0.6356566820276498,0.3846140407990858
summary_ranking_score,0.049399356760614896,0.25921658986175117,0.024164746543778804,0.4983870967741929,0.6296082949308756,0.3846140407990858
summary_chain_pair_pae_cross_chain_min,0.056830084587134816,-0.2523041474654378,-0.48561347926267284,-0.014386520737327267,0.6261520737327189,0.3846140407990858
ranking_score,0.059171390892167046,0.25,-0.0034562211981566822,0.46889400921658986,0.625,0.3846140407990858
summary_chain_pair_pae_cross_chain_mean,0.09253560399575815,-0.22292626728110598,-0.4544930875576037,0.029392281105990705,0.611463133640553,0.5155555079763668
summary_ptm,0.11441725866334569,0.20391705069124424,-0.04442684331797235,0.44932315668202755,0.6019585253456221,0.5577841359838103
rosetta_yhh_planarity_mean,0.22075027159777638,-0.16244239631336405,-0.4066820276497696,0.08873847926267266,0.5812211981566819,0.8609260592313279
rosetta_hbond_lr_bb_mean,0.22075027159777638,-0.16244239631336405,-0.39634216589861754,0.0944700460829493,0.581221198156682,0.8609260592313279
rosetta_hbond_sc_mean,0.29361494350242945,0.13940092165898618,-0.11866359447004608,0.3951612903225806,0.569700460829493,0.8904765510427728
rosetta_time_mean,0.33990482996132376,0.12672811059907835,-0.14631336405529954,0.39182027649769524,0.5633640552995393,0.8904765510427728
binding_interface_packstat_A_B_mean,0.381077160491611,-0.11635944700460829,-0.3779089861751152,0.15210253456221184,0.5581797235023042,0.8904765510427728
binding_interface_sc_A_B_mean,0.440513339576015,-0.10253456221198157,-0.3652073732718894,0.1693548387096774,0.5512672811059908,0.8904765510427728
rosetta_lk_ball_wtd_mean,0.4456953656885504,0.10138248847926268,-0.17744815668202765,0.37442396313364057,0.5506912442396314,0.8904765510427728
rosetta_fa_intra_rep_mean,0.4456953656885504,0.10138248847926268,-0.15901497695852534,0.358294930875576,0.5506912442396313,0.8904765510427728
binding_interface_dG_dSASA_ratio_A_B_mean,0.4993863883497125,0.08986175115207373,-0.1797811059907834,0.3675979262672806,0.5449308755760368,0.8904765510427728
rosetta_total_score_mean,0.5049382328034355,-0.08870967741935484,-0.33640552995391704,0.17168778801843304,0.5443548387096774,0.8904765510427728
rosetta_score_mean,0.5049382328034355,-0.08870967741935484,-0.36062788018433184,0.16134792626728078,0.5443548387096774,0.8904765510427728
binding_interface_delta_hbond_unsat_A_B_mean,0.5133179234843397,-0.0869815668202765,-0.34621255760368663,0.18202764976958524,0.5434907834101383,0.8904765510427728
rosetta_dslf_fa13_mean,0.5504970034015461,0.07949308755760369,-0.16705069124423963,0.34565092165898603,0.5397465437788018,0.8904765510427728
binding_interface_hbonds_A_B_mean,0.5859353332904518,-0.07258064516129033,-0.3289314516129032,0.19010656682027643,0.5362903225806452,0.8904765510427728
rosetta_hbond_sr_bb_mean,0.5919539507524086,0.07142857142857142,-0.21316244239631335,0.3433179723502304,0.5357142857142857,0.8904765510427728
binding_interface_total_hbond_E_A_B_mean,0.604056766581538,0.06912442396313365,-0.19245391705069123,0.3225806451612903,0.5345622119815668,0.8904765510427728
binding_interface_delta_sasa_A_B_mean,0.6101495545184659,-0.06797235023041474,-0.3398905529953917,0.18896889400921643,0.5339861751152074,0.8904765510427728
binding_interface_nres_A_B_mean,0.6162680256286662,-0.06682027649769585,-0.3294930875576037,0.20740207373271874,0.5334101382488479,0.8904765510427728
rosetta_ref_mean,0.6224161883351581,0.06566820276497695,-0.22004608294930875,0.3306739631336404,0.5328341013824885,0.8904765510427728
rosetta_fa_elec_mean,0.6598389381479265,0.0587557603686636,-0.2073732718894009,0.32376152073732706,0.5293778801843319,0.8904765510427728
rosetta_rama_prepro_mean,0.6852766120597857,-0.05414746543778802,-0.3295218894009217,0.22237903225806438,0.527073732718894,0.8904765510427728
binding_interface_dG_A_B_mean,0.7175795543417536,0.04838709677419355,-0.22122695852534563,0.3122407834101381,0.5241935483870968,0.8904765510427728
binding_interface_score_A_B_mean,0.7175795543417536,0.04838709677419355,-0.21549539170506912,0.31105990783410137,0.5241935483870968,0.8904765510427728
rosetta_fa_sol_mean,0.7306474264966341,-0.04608294930875576,-0.31797235023041476,0.23159562211981552,0.5230414746543779,0.8904765510427728
summary_fraction_disordered,0.7616794813869441,0.039746543778801845,-0.2021889400921659,0.27881624423963125,0.5198732718894009,0.9001666598209339
rosetta_fa_atr_mean,0.851359221204276,-0.02534562211981567,-0.2950172811059908,0.24887672811059894,0.5126728110599079,0.9480527422894935
rosetta_fa_dun_mean,0.8719061306647423,0.021889400921658985,-0.2558179723502304,0.3018721198156681,0.5109447004608295,0.9480527422894935
rosetta_fa_rep_mean,0.8925398403013306,0.018433179723502304,-0.23513824884792628,0.2799539170506912,0.5092165898617511,0.9480527422894935
rosetta_hbond_bb_sc_mean,0.8994346529413143,-0.01728110599078341,-0.2661578341013825,0.23044354838709663,0.5086405529953917,0.9480527422894935
rosetta_omega_mean,0.9409449622342424,-0.010368663594470046,-0.29838709677419356,0.26039746543778786,0.5051843317972351,0.9657066717667225
rosetta_fa_intra_sol_xover4_mean,0.9895692865172535,0.002304147465437788,-0.25123847926267284,0.2695852534562212,0.5011520737327189,0.9895692865172535
