feature,importance_mean,importance_std
rosetta_p_aa_pp_mean,0.1795653513431964,0.029989627626166238
summary_iptm,0.1346482750518971,0.031119717324497382
rosetta_pro_close_mean,0.1338174294150782,0.027182154040343503
rosetta_hbond_lr_bb_mean,0.07271588598688669,0.015340286472844855
rosetta_fa_rep_mean,0.0716117055312251,0.013689694290946132
rosetta_fa_elec_mean,0.058263264032682366,0.0129833883250462
binding_interface_delta_hbond_unsat_A_B_mean,0.05530291649103714,0.013935341458968185
rosetta_total_score_mean,0.05427188189205974,0.012099779506173152
binding_interface_dG_A_B_mean,0.049651558956191846,0.010502934091353753
binding_interface_packstat_A_B_mean,0.04886431293671701,0.01117230940026758
binding_interface_sc_A_B_mean,0.047961069140774235,0.010356206928128123
binding_interface_hbonds_A_B_mean,0.04476765448231669,0.008995449681208842
summary_ptm,0.03525267502646394,0.010973880191001359
summary_fraction_disordered,0.013306019713473637,0.005230553842790658
