metric_1,metric_2,pearson_r,abs_r
rosetta_total_score_mean,rosetta_score_mean,1.0,1.0
binding_interface_score_A_B_mean,binding_interface_dG_A_B_mean,1.0,1.0
ranking_score,summary_ranking_score,0.9995,0.9995
ranking_score,summary_iptm,0.9972,0.9972
summary_iptm,summary_ranking_score,0.997,0.997
summary_chain_pair_pae_cross_chain_mean,summary_chain_pair_pae_cross_chain_min,0.9967,0.9967
binding_interface_delta_sasa_A_B_mean,binding_interface_nres_A_B_mean,0.9962,0.9962
binding_interface_packstat_A_B_mean,binding_interface_sc_A_B_mean,0.9948,0.9948
binding_interface_dG_A_B_mean,binding_interface_delta_sasa_A_B_mean,-0.9944,0.9944
binding_interface_score_A_B_mean,binding_interface_delta_sasa_A_B_mean,-0.9944,0.9944
binding_interface_sc_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9922,0.9922
binding_interface_hbonds_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9907,0.9907
binding_interface_score_A_B_mean,binding_interface_nres_A_B_mean,-0.9902,0.9902
binding_interface_dG_A_B_mean,binding_interface_nres_A_B_mean,-0.9902,0.9902
binding_interface_packstat_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9902,0.9902
summary_iptm,summary_chain_pair_pae_cross_chain_mean,-0.9699,0.9699
binding_interface_nres_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9683,0.9683
binding_interface_delta_sasa_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.9643,0.9643
summary_iptm,summary_chain_pair_pae_cross_chain_min,-0.9625,0.9625
summary_ranking_score,summary_chain_pair_pae_cross_chain_mean,-0.9605,0.9605
binding_interface_dG_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,0.96,0.96
binding_interface_score_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,0.96,0.96
ranking_score,summary_chain_pair_pae_cross_chain_mean,-0.9597,0.9597
binding_interface_packstat_A_B_mean,binding_interface_nres_A_B_mean,0.9591,0.9591
binding_interface_score_A_B_mean,binding_interface_hbonds_A_B_mean,-0.9537,0.9537
binding_interface_dG_A_B_mean,binding_interface_hbonds_A_B_mean,-0.9537,0.9537
binding_interface_delta_sasa_A_B_mean,binding_interface_packstat_A_B_mean,0.9532,0.9532
binding_interface_delta_sasa_A_B_mean,binding_interface_hbonds_A_B_mean,0.9531,0.9531
summary_ranking_score,summary_chain_pair_pae_cross_chain_min,-0.9503,0.9503
binding_interface_nres_A_B_mean,binding_interface_sc_A_B_mean,0.9493,0.9493
ranking_score,summary_chain_pair_pae_cross_chain_min,-0.9492,0.9492
binding_interface_nres_A_B_mean,binding_interface_hbonds_A_B_mean,0.9457,0.9457
binding_interface_delta_sasa_A_B_mean,binding_interface_sc_A_B_mean,0.944,0.944
binding_interface_dG_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.9437,0.9437
binding_interface_score_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.9437,0.9437
binding_interface_delta_sasa_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9405,0.9405
binding_interface_dG_A_B_mean,binding_interface_packstat_A_B_mean,-0.9366,0.9366
binding_interface_score_A_B_mean,binding_interface_packstat_A_B_mean,-0.9366,0.9366
binding_interface_score_A_B_mean,binding_interface_sc_A_B_mean,-0.9329,0.9329
binding_interface_dG_A_B_mean,binding_interface_sc_A_B_mean,-0.9329,0.9329
binding_interface_nres_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.9313,0.9313
rosetta_fa_dun_mean,rosetta_fa_sol_mean,0.9243,0.9243
rosetta_fa_elec_mean,rosetta_fa_sol_mean,-0.9211,0.9211
rosetta_fa_atr_mean,rosetta_fa_sol_mean,-0.9207,0.9207
rosetta_total_score_mean,rosetta_fa_elec_mean,0.9163,0.9163
rosetta_score_mean,rosetta_fa_elec_mean,0.9163,0.9163
rosetta_fa_atr_mean,rosetta_fa_elec_mean,0.9006,0.9006
rosetta_fa_sol_mean,rosetta_hbond_sr_bb_mean,-0.8965,0.8965
binding_interface_hbonds_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,-0.8931,0.8931
rosetta_fa_dun_mean,rosetta_fa_intra_sol_xover4_mean,0.8835,0.8835
binding_interface_packstat_A_B_mean,binding_interface_hbonds_A_B_mean,0.8793,0.8793
binding_interface_dG_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,-0.8778,0.8778
binding_interface_score_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,-0.8778,0.8778
binding_interface_dG_dSASA_ratio_A_B_mean,binding_interface_total_hbond_E_A_B_mean,0.8742,0.8742
binding_interface_delta_sasa_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,0.8718,0.8718
binding_interface_hbonds_A_B_mean,binding_interface_sc_A_B_mean,0.8687,0.8687
binding_interface_delta_hbond_unsat_A_B_mean,binding_interface_nres_A_B_mean,0.8603,0.8603
rosetta_total_score_mean,rosetta_fa_atr_mean,0.8582,0.8582
rosetta_score_mean,rosetta_fa_atr_mean,0.8582,0.8582
binding_interface_packstat_A_B_mean,binding_interface_total_hbond_E_A_B_mean,-0.857,0.857
