feature,importance_mean,importance_std
rosetta_p_aa_pp_mean,0.17020029400013187,0.0280707122978792
rosetta_pro_close_mean,0.12569053366809788,0.0334838113422097
summary_iptm,0.1226992363565916,0.025452596332509323
rosetta_fa_rep_mean,0.07318677842626856,0.018298558431540483
binding_interface_delta_hbond_unsat_A_B_mean,0.07123524305898121,0.01275999619583025
rosetta_fa_elec_mean,0.06768311252083328,0.01493578877272839
rosetta_hbond_lr_bb_mean,0.06513485397518298,0.01445555295752904
binding_interface_sc_A_B_mean,0.05295635695340015,0.011025314684415522
rosetta_total_score_mean,0.05283704506342026,0.011996994488926539
binding_interface_dG_A_B_mean,0.051271272698943056,0.009381851767999678
binding_interface_hbonds_A_B_mean,0.05085318715798305,0.012011975602941568
binding_interface_packstat_A_B_mean,0.04970958260984583,0.00879293071157302
summary_ptm,0.032233200949841175,0.01065444794557861
summary_fraction_disordered,0.014309302560479145,0.005196390432456311
