metric,n_binder,n_nonbinder,mean_binder,mean_nonbinder,p_raw,cliffs_d,cd_ci_lo,cd_ci_hi,auc,p_fdr_bh,sig_fdr,definicio
rosetta_p_aa_pp_mean,28,62,0.400057,0.487708,0.01415015341766343,-0.3248847926267281,-0.542655529953917,-0.10362903225806483,0.6624423963133641,0.075327548997847,False,A — Original
rosetta_pro_close_mean,28,62,0.403729,0.505792,0.01883188724946175,-0.31105990783410137,-0.5438076036866358,-0.054089861751152386,0.6555299539170507,0.075327548997847,False,A — Original
summary_iptm,28,62,0.908892,0.804806,0.039843563961505145,0.27131336405529954,0.029291474654378032,0.4890552995391705,0.6356566820276498,0.07889518785622272,False,A — Original
summary_ranking_score,28,62,0.884146,0.779308,0.049399356760614896,0.25921658986175117,0.009216589861751152,0.47757776497695825,0.6296082949308756,0.07889518785622272,False,A — Original
summary_chain_pair_pae_cross_chain_min,28,62,0.052827,0.126895,0.056830084587134816,-0.2523041474654378,-0.48042914746543774,-0.012053571428571663,0.6261520737327189,0.07889518785622272,False,A — Original
ranking_score,28,62,0.882896,0.779957,0.059171390892167046,0.25,-0.0034562211981566822,0.46889400921658986,0.625,0.07889518785622272,False,A — Original
summary_ptm,28,62,0.785714,0.714076,0.11441725866334569,0.20391705069124424,-0.03456221198156682,0.4458813364055298,0.6019585253456221,0.13076258132953794,False,A — Original
rosetta_hbond_lr_bb_mean,28,62,0.3455,0.389348,0.22075027159777638,-0.16244239631336405,-0.41705069124423966,0.0944700460829493,0.581221198156682,0.22075027159777638,False,A — Original
rosetta_p_aa_pp_mean,24,62,0.408106,0.487708,0.03712102045014409,-0.2916666666666667,-0.5229166666666665,-0.05907258064516166,0.6231060606060606,0.13424460603603436,False,B — Sense discordants
rosetta_pro_close_mean,24,62,0.411102,0.505792,0.0426968446990966,-0.28360215053763443,-0.5242271505376344,-0.0228494623655914,0.6287878787878788,0.13424460603603436,False,B — Sense discordants
summary_iptm,24,62,0.903912,0.804806,0.0786962133834221,0.2452956989247312,-0.01280241935483865,0.4926243279569892,0.608270202020202,0.13424460603603436,False,B — Sense discordants
summary_ranking_score,24,62,0.880081,0.779308,0.08789314125830469,0.23790322580645162,-0.012785618279569864,0.4805443548387095,0.6079545454545455,0.13424460603603436,False,B — Sense discordants
summary_chain_pair_pae_cross_chain_min,24,62,0.054796,0.126895,0.09289771764603734,-0.23521505376344087,-0.48657594086021505,0.014146505376343902,0.6095328282828283,0.13424460603603436,False,B — Sense discordants
ranking_score,24,62,0.878694,0.779957,0.10068345452702576,0.22983870967741934,-0.02956989247311828,0.47990591397849425,0.6047979797979798,0.13424460603603436,False,B — Sense discordants
summary_ptm,24,62,0.776515,0.714076,0.19890409332953862,0.17540322580645162,-0.0915322580645159,0.4227318548387096,0.5744949494949494,0.22731896380518699,False,B — Sense discordants
rosetta_hbond_lr_bb_mean,24,62,0.364326,0.389348,0.4672853572337893,-0.10215053763440861,-0.37768817204301075,0.15863575268817184,0.5347222222222222,0.4672853572337893,False,B — Sense discordants
rosetta_p_aa_pp_mean,16,62,0.404527,0.487708,0.06431925616691783,-0.3024193548387097,-0.5766129032258065,-0.02409274193548442,0.6216216216216216,0.14328860440861113,False,C — Només strong
rosetta_pro_close_mean,16,62,0.416468,0.505792,0.07995178896811092,-0.2862903225806452,-0.6089213709677419,0.05443548387096774,0.6207770270270271,0.14328860440861113,False,C — Només strong
summary_iptm,16,62,0.904337,0.804806,0.08431794360300417,0.28125,-0.023235887096774106,0.5695564516129032,0.6317567567567568,0.14328860440861113,False,C — Només strong
summary_chain_pair_pae_cross_chain_min,16,62,0.056302,0.126895,0.10495946071677262,-0.2651209677419355,-0.5564516129032258,0.03833165322580631,0.6292229729729729,0.14328860440861113,False,C — Només strong
ranking_score,16,62,0.878577,0.779957,0.10634353253387914,0.26411290322580644,-0.046370967741935484,0.5625,0.6283783783783784,0.14328860440861113,False,C — Només strong
summary_ranking_score,16,62,0.879573,0.779308,0.10746645330645835,0.2620967741935484,-0.04337197580645157,0.5524445564516127,0.6241554054054054,0.14328860440861113,False,C — Només strong
summary_ptm,16,62,0.761364,0.714076,0.5382138484076209,0.09879032258064516,-0.2228074596774193,0.42038810483870953,0.5219594594594594,0.615101541037281,False,C — Només strong
rosetta_hbond_lr_bb_mean,16,62,0.38572,0.389348,0.7058639790551773,-0.0625,-0.3487903225806452,0.2620967741935484,0.5050675675675675,0.7058639790551773,False,C — Només strong
