model,seed,sample,ranking_score,job_seed_dir,job_seed,job_seed_instance,summary_chain_iptm,summary_chain_pair_iptm,summary_chain_pair_pae_min,summary_chain_ptm,summary_fraction_disordered,summary_has_clash,summary_iptm,summary_ptm,summary_ranking_score,rosetta_total_score_mean,rosetta_score_mean,rosetta_dslf_fa13_mean,rosetta_fa_atr_mean,rosetta_fa_dun_mean,rosetta_fa_elec_mean,rosetta_fa_intra_rep_mean,rosetta_fa_intra_sol_xover4_mean,rosetta_fa_rep_mean,rosetta_fa_sol_mean,rosetta_hbond_bb_sc_mean,rosetta_hbond_lr_bb_mean,rosetta_hbond_sc_mean,rosetta_hbond_sr_bb_mean,rosetta_lk_ball_wtd_mean,rosetta_omega_mean,rosetta_p_aa_pp_mean,rosetta_pro_close_mean,rosetta_rama_prepro_mean,rosetta_ref_mean,rosetta_time_mean,rosetta_yhh_planarity_mean,rosetta_n_structures,binding_interface_score_A_B_mean,binding_interface_dG_A_B_mean,binding_interface_delta_sasa_A_B_mean,binding_interface_packstat_A_B_mean,binding_interface_delta_hbond_unsat_A_B_mean,binding_interface_nres_A_B_mean,binding_interface_hbonds_A_B_mean,binding_interface_sc_A_B_mean,binding_interface_dG_dSASA_ratio_A_B_mean,binding_interface_total_hbond_E_A_B_mean,binding_n_structures
Complex1,1,1,1.0611475127230243,,,,"[0.91, 0.91]","[[0.46, 0.91], [0.91, 0.83]]","[[0.76, 1.39], [1.45, 0.76]]","[0.46, 0.83]",0.45,0.0,0.91,0.54,1.06,-1024.8191441441445,-1024.8191171171175,-3.6012792792792783,-2366.050738738738,605.2816036036033,-710.835918918919,6.005945945945945,102.74695495495497,256.2664954954955,1494.2081081081078,-71.76958558558559,-79.15021621621621,-64.50747747747748,-181.05295495495488,-75.2759279279279,49.917900900900904,-106.2144594594595,1.9951531531531521,23.206324324324324,93.56799999999997,592.1261261261261,0.44285585585585596,111,-3.6283079588599634,-3.6283079588599634,123.23916148503696,0.051514921395608704,0.22522522522522523,3.8018018018018016,0.6126126126126126,0.05220805645525992,-0.0023268560785728466,-0.6816878317490664,111
Complex10,1,2,0.9974142578799854,,,,"[0.84, 0.84]","[[0.46, 0.84], [0.84, 0.8]]","[[0.76, 2.31], [2.16, 0.76]]","[0.46, 0.8]",0.45,0.0,0.84,0.52,1.0,-1047.990477477477,-1047.990477477477,-3.7033873873873873,-2373.4059099099104,591.1056216216215,-722.9545675675677,5.800135135135133,100.87507207207206,262.5941531531532,1507.2518018018022,-73.51119819819819,-82.87664864864865,-57.81154054054053,-164.534963963964,-75.17097297297295,49.38713513513513,-108.50655855855858,2.630900900900901,8.502090090090087,85.6319999999998,679.0540540540541,0.7067477477477483,111,-17.510950766905864,-17.510950766905864,568.4013572309077,0.2511874125363258,2.234234234234234,20.81981981981982,1.8018018018018018,0.2728940443144188,-0.012531889232646821,-2.0620384808327645,111
Complex11,1,3,1.076475416090996,,,,"[0.92, 0.92]","[[0.46, 0.92], [0.92, 0.78]]","[[0.76, 1.37], [1.49, 0.76]]","[0.46, 0.78]",0.47,0.0,0.92,0.52,1.08,-1046.9594954954957,-1046.9594774774775,-3.7023783783783775,-2267.3109189189195,550.6036126126126,-685.1682792792791,5.658477477477479,94.46236936936936,248.19334234234233,1366.5125855855858,-73.29631531531535,-110.79019819819821,-56.7720990990991,-131.6189279279279,-69.58608108108109,42.74571171171171,-110.20378378378375,1.9006216216216218,30.641765765765783,119.90799999999987,664.981981981982,0.8630720720720715,111,-32.34990344358202,-32.34990344358202,934.8888993825054,0.4286832027037862,2.981981981981982,33.26126126126126,3.135135135135135,0.46637652519049944,-0.02265051836169343,-3.3682676920539447,111
Complex12,1,1,1.0672539792163238,,,,"[0.91, 0.91]","[[0.46, 0.91], [0.91, 0.83]]","[[0.76, 1.37], [1.33, 0.76]]","[0.46, 0.83]",0.46,0.0,0.91,0.53,1.07,-1083.0542612612614,-1083.0542342342344,-3.8015495495495495,-2351.698378378378,566.0669009009008,-717.5079909909907,5.650126126126125,95.99181081081083,258.8496846846847,1438.9793063063064,-76.29130630630631,-92.41944144144148,-55.631972972972974,-160.64335135135136,-73.87514414414414,46.242513513513515,-105.38572972972975,1.8575225225225234,24.869252252252252,114.58899999999996,609.8648648648649,1.1038198198198192,111,-18.952818050548363,-18.952818050548363,582.8573583341432,0.2762821440810072,1.4864864864864864,21.783783783783782,2.8828828828828827,0.25171899674712,-0.013288157815584463,-2.976696948823158,111
Complex13,1,0,0.7925346069435457,,,,"[0.59, 0.59]","[[0.46, 0.59], [0.59, 0.78]]","[[0.76, 7.64], [6.82, 0.76]]","[0.46, 0.78]",0.46,0.0,0.59,0.47,0.79,-983.4090810810809,-983.4090900900899,-3.5933693693693685,-2269.818531531532,545.2610810810811,-661.8008378378378,5.664882882882887,95.72212612612611,281.78281981981974,1358.9341171171166,-75.13547747747751,-101.64251351351353,-61.19099099099103,-131.44642342342343,-70.96685585585588,47.32718018018018,-115.9901711711711,2.519693693693693,35.78991891891892,134.5200000000003,600.6666666666666,0.6538918918918918,111,-7.576295640531329,-7.576295640531329,304.92126334513677,0.23431453859491874,0.9459459459459459,12.684684684684685,1.09009009009009,0.23585249356052898,-0.009047359243934234,-1.2409179698695827,111
Complex14,1,2,0.9969199770535806,,,,"[0.82, 0.82]","[[0.46, 0.82], [0.82, 0.78]]","[[0.76, 2.57], [2.37, 0.76]]","[0.46, 0.78]",0.47,0.0,0.82,0.51,1.0,-918.5345585585585,-918.5345405405405,-3.636783783783783,-2185.050990990992,539.8925135135136,-613.4384234234234,5.5593873873873845,97.05044144144148,245.21973873873864,1340.464459459459,-70.5997027027027,-73.3049189189189,-52.79695495495498,-152.25490990990986,-72.12243243243245,44.487072072072074,-102.38635135135138,2.5723783783783785,24.14528828828828,107.06999999999984,500.5315315315315,0.5960450450450451,111,-3.2926039359137365,-3.2926039359137365,117.52353866171377,0.07689324767469051,0.2882882882882883,4.36936936936937,0.5315315315315315,0.07487162343553595,-0.0034255888173848874,-0.5906265714576846,111
Complex15,1,1,1.0902182377422358,,,,"[0.93, 0.93]","[[0.47, 0.93], [0.93, 0.8]]","[[0.76, 1.23], [1.21, 0.76]]","[0.47, 0.8]",0.48,0.0,0.93,0.53,1.09,-1012.2041171171167,-1012.2040990990987,-3.758765765765766,-2275.068882882883,559.2000180180183,-694.3702432432433,5.541603603603605,97.21282882882878,246.5647477477477,1434.2946216216214,-78.13661261261258,-89.50511711711712,-62.157090090090065,-155.37465765765768,-68.98454954954957,45.02988288288287,-101.70207207207207,1.8045495495495485,24.284990990990988,102.40300000000012,609.5855855855856,0.5173603603603604,111,-19.899157419649953,-19.899157419649953,570.248570593375,0.23307280283594067,2.108108108108108,19.56756756756757,2.4864864864864864,0.24428810018139915,-0.012347087697705195,-2.948848777889717,111
Complex16,1,1,0.8876972661762378,,,,"[0.7, 0.7]","[[0.45, 0.7], [0.7, 0.8]]","[[0.76, 3.62], [3.43, 0.76]]","[0.45, 0.8]",0.45,0.0,0.7,0.5,0.89,-1048.4023963963964,-1048.4023963963964,-3.731630630630628,-2385.903009009009,583.7770180180183,-731.3973603603604,5.74990990990991,102.95371171171168,253.36401801801793,1533.4317297297303,-86.94937837837837,-86.05843243243244,-62.0493243243243,-173.7587837837838,-73.22309909909909,50.317540540540534,-105.76146846846851,2.3550990990990996,26.024180180180178,102.06500000000001,638.9099099099099,0.39180180180180174,111,-11.100852028809639,-11.100852028809639,396.9925909597996,0.21882323189542421,1.0810810810810811,16.495495495495497,1.5765765765765767,0.21736403266051868,-0.009689476594450895,-1.7483307268266552,111
Complex17,1,4,1.060372454415189,,,,"[0.91, 0.91]","[[0.46, 0.91], [0.91, 0.82]]","[[0.76, 1.45], [1.43, 0.76]]","[0.46, 0.82]",0.45,0.0,0.91,0.54,1.06,-1073.4227657657657,-1073.4227567567568,-3.7018558558558547,-2430.077981981982,591.9282882882884,-725.65527027027,5.861243243243244,100.60450450450452,257.172117117117,1524.2128558558557,-68.19390990990995,-89.32450450450443,-54.84072072072073,-177.57211711711713,-77.98399999999998,49.17087387387387,-110.75392792792795,2.1068738738738735,33.586945945945956,99.37299999999976,678.6936936936937,0.6653873873873877,111,-10.528627477159741,-10.528627477159741,321.9993758358543,0.1108339384945409,1.3603603603603605,11.531531531531531,1.1891891891891893,0.10755122110650346,-0.005421758053837541,-1.4399468242618827,111
Complex18,1,4,1.0517556387553446,,,,"[0.9, 0.9]","[[0.46, 0.9], [0.9, 0.82]]","[[0.76, 1.63], [1.65, 0.76]]","[0.46, 0.82]",0.45,0.0,0.9,0.54,1.05,-1061.0645765765767,-1061.0645855855857,-3.6754594594594576,-2494.5781801801786,584.184081081081,-711.0251171171171,5.9423513513513475,103.67287387387388,278.62899999999985,1499.0906306306317,-78.78043243243243,-86.37007207207206,-62.56877477477475,-165.95703603603604,-77.5705495495496,56.86252252252252,-115.57577477477479,2.547648648648649,83.69931531531532,119.8310000000001,717.9099099099099,0.5776036036036035,111,-19.3493737481946,-19.3493737481946,656.9820922413011,0.3117680550254426,2.081081081081081,24.306306306306308,3.6126126126126126,0.2942164033852719,-0.014295823371109264,-3.820857273186489,111
